"Reference","Value","Datasheet","Footprint","Qty","DNP"
"BZ1","Buzzer","~","Buzzer_Beeper:Buzzer_12x9.5RM7.6","1",""
"C1,C3","1uF","~","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","2",""
"C2","1uF","~","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","1","DNP"
"D1,D2,D3,D4,D5,D6,D7","5mm, R","~","LED_THT:LED_D5.0mm","7",""
"J1","Screw_Terminal_01x02","~","TerminalBlock_4Ucon:TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal","1",""
"Q1","BC556","https://www.onsemi.com/pub/Collateral/BC556BTA-D.pdf","Package_TO_SOT_THT:TO-92_Inline","1",""
"Q2,Q3","BC546","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","Package_TO_SOT_THT:TO-92_Inline","2",""
"R1,R2","1M","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R3,R4,R5,R6,R7,R8,R9,R10","10k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","8",""
"R11,R13,R14","220R","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","3",""
"R12","1k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"SW1","Push 6x6, H13mm","~","Button_Switch_THT:SW_PUSH_6mm_H13mm","1",""
"SW2","DPDT 7x7mm, Turbo","~","Button_Switch_THT_Hap:SW_DPDT_7x7_Turbo","1",""
"U1","NE555P","http://www.ti.com/lit/ds/symlink/ne555.pdf","Package_DIP:DIP-8_W7.62mm","1",""
"U2","4017","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4017bms-22bms.pdf","Package_DIP:DIP-16_W7.62mm","1",""
